"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"error"	"qval_individual"	"model"	"N"	"N.not.zero"	"pval_joint"	"qval_joint"
"Feature64"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-3.2280123990975	0.828401553598553	0.000611743844751834	NA	0.020323489953422	"abundance"	100	32	0.00122311345897208	0.0209340572785605
"Feature64"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.127140120527859	0.220257710512963	0.563781756014944	NA	0.999068586141785	"prevalence"	100	32	0.00122311345897208	0.0209340572785605
"Feature22"	"Metadata_2"	"1"	"Metadata_21"	-3.20446349589652	1.00832907457728	0.00148297948111442	NA	0.0316181704154652	"prevalence"	100	14	0.00148297948111442	0.0237136278115989
"Feature28"	"Metadata_5"	"1"	"Metadata_51"	3.05919531905436	0.963156929729124	0.00149209343533656	NA	0.0316181704154652	"prevalence"	100	16	0.00149209343533656	0.0237136278115989
"Feature84"	"Metadata_1"	"1"	"Metadata_11"	-4.53951769687716	0.918766321715584	0.000801266049783357	NA	0.0235638461621318	"abundance"	100	15	0.00160189007228418	0.0245807269712572
"Feature84"	"Metadata_1"	"1"	"Metadata_11"	-1.42048513532477	0.665107127499019	0.0327019316379112	NA	0.419141426731818	"prevalence"	100	15	0.00160189007228418	0.0245807269712572
"Feature67"	"Metadata_1"	"1"	"Metadata_11"	-2.31589700547096	0.66117057340395	0.00114871117056124	NA	0.028622053333151	"abundance"	100	46	0.00229610280376911	0.0340588582559085
"Feature67"	"Metadata_1"	"1"	"Metadata_11"	-0.543190020553233	0.41442976659271	0.189961646087674	NA	0.978790387847326	"prevalence"	100	46	0.00229610280376911	0.0340588582559085
"Feature79"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-1.01000005439321	0.313571198747077	0.00449769972920406	NA	0.100597330129091	"abundance"	100	25	0.00897517015555403	0.128837119974888
"Feature79"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.103521877364505	0.231375257309842	0.654571963584049	NA	0.999068586141785	"prevalence"	100	25	0.00897517015555403	0.128837119974888
"Feature79"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.0739672248141	0.335575583526739	0.00471024288229858	NA	0.100597330129091	"abundance"	100	25	0.00939829937658691	0.130695100705662
"Feature79"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.0735321881844067	0.233722342053606	0.753055179395819	NA	0.999068586141785	"prevalence"	100	25	0.00939829937658691	0.130695100705662
"Feature37"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.999904392662238	0.34424272413674	0.00525422766959087	NA	0.104414087418828	"abundance"	100	62	0.0104808484307779	0.141332653081701
"Feature37"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.110612588488487	0.21671028322454	0.609759427476485	NA	0.999068586141785	"prevalence"	100	62	0.0104808484307779	0.141332653081701
"Feature25"	"Metadata_1"	"1"	"Metadata_11"	-5.25090713729068	0.04843851230835	0.00587251673111415	NA	0.104414087418828	"abundance"	100	7	0.0117105470094711	0.150510833898477
"Feature44"	"Metadata_1"	"1"	"Metadata_11"	3.72949904771363	0.957496070609267	0.00593658691010059	NA	0.104414087418828	"abundance"	100	13	0.01183793075606	0.150510833898477
"Feature25"	"Metadata_1"	"1"	"Metadata_11"	0.336556942440272	0.705291603529922	0.633228000227912	NA	0.999068586141785	"prevalence"	100	7	0.0117105470094711	0.150510833898477
"Feature44"	"Metadata_1"	"1"	"Metadata_11"	0.33612344468849	0.585017200402806	0.565593580290658	NA	0.999068586141785	"prevalence"	100	13	0.01183793075606	0.150510833898477
"Feature15"	"Metadata_3"	"Metadata_3"	"Metadata_3"	1.9327027395979	0.600950251827919	0.00675523679359123	NA	0.106407796588564	"abundance"	100	19	0.013464840363045	0.157785119063898
"Feature42"	"Metadata_2"	"1"	"Metadata_21"	4.07547024881447	1.01856667756598	0.00710940338490901	NA	0.106407796588564	"abundance"	100	12	0.0141682631533287	0.157785119063898
"Feature56"	"Metadata_3"	"Metadata_3"	"Metadata_3"	1.85854274088649	0.607778969348525	0.00711757836712802	NA	0.106407796588564	"abundance"	100	23	0.0141844968124438	0.157785119063898
"Feature84"	"Metadata_4"	"Metadata_4"	"Metadata_4"	1.31462695809344	0.718841666469194	0.100685201245055	NA	0.700113376099335	"abundance"	100	15	0.0148920786532219	0.157785119063898
"Feature95"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.320870422256469	0.319991887324926	0.32216494229199	NA	0.867813673381127	"abundance"	100	45	0.0148051554665436	0.157785119063898
"Feature95"	"Metadata_5"	"1"	"Metadata_51"	-0.380781941208556	0.53701293711294	0.482496088710017	NA	0.944288538148847	"abundance"	100	45	0.0140058554381133	0.157785119063898
"Feature15"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.551682068619531	0.268208895115155	0.0396947008891979	NA	0.452926715274181	"prevalence"	100	19	0.013464840363045	0.157785119063898
"Feature22"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.05525487833636	0.429707284570128	0.0140589819664047	NA	0.215732654312072	"prevalence"	100	14	0.0140589819664047	0.157785119063898
"Feature42"	"Metadata_2"	"1"	"Metadata_21"	0.642279752342835	0.588422345496411	0.275040404139049	NA	0.999068586141785	"prevalence"	100	12	0.0141682631533287	0.157785119063898
